第一次,第二次
"近义词汉语:轴瓦,轴衬","近义词汉语:轴瓦,轴衬("
"近义词汉语:洋槐,刺槐","近义词汉语:洋槐,刺槐("
"近义词汉语:蜂蜜,蜜,蜜糖","近义词汉语:蜂蜜,蜜,蜜糖("
"近义词汉语:冷,寒冷,冰冷,冰凉,冻,寒,冷冰冰,阴冷,僵冷俄语近义词汉语:结冰,冻结,上冻,冰冻,冻,冷凝,封冻,凝冻,冷冻法语","近义词汉语:冷,寒冷,冰冷,冰凉,冻,寒,冷冰冰,阴冷,僵冷俄语:холодный,холодно,холод法语:froid,glacial,désert,silencieux西班牙语:frialdad,frío英语:cold,coldinmanner,shotfromhiding3结冰近义词汉语:结冰,冻结,上冻,冰冻,冻,冷凝,封冻,凝冻,冷冻法语:geler,seglacer,secongeler英语:freeze,ice,iceover,iceup,icing反义词汉语:解冻查看关于冻的反义词>>("
"近义词汉语:原料,原材料,原料药英语","近义词汉语:原料,原材料,原料药英语:rawmaterial,staple,stock,stuff德语:Ausgangsmaterial,Material,Rohmaterial,Rohstoff,Stoff反义词汉语:制品,成品查看关于原料的反义词>>("
"近义词汉语:顽皮,调皮,皮,淘气,顽西班牙语近义词汉语:皮革,皮子,革,皮,韦,皮张西班牙语近义词汉语:面,面子,皮,脸,表,表面,面上汉语:面,平面俄语近义词汉语:皮肤,皮,肤,皮层,肌肤葡萄牙语","近义词汉语:顽皮,调皮,皮,淘气,顽西班牙语:diablura,travesura德语:böse,unartig,Bubenstreich反义词汉语:老实,乖巧3皮革近义词汉语:皮革,皮子,革,皮,韦,皮张西班牙语:cuero,piel4片近义词法语:－,tranche,lame,secteur汉语:片,片子,板,皮,片儿,片片德语:Scheibe,Tablett,Stück,ZähleinheitswortfürdünneScheibeundSchnitte,gespaltenesHolz(近义词汉语:面,面子,皮,脸,表,表面,面上汉语:面,平面俄语:лицо,наружность,лицеваясторона法语:visage,face,surface,côté,farine,poudre,nouilles德语:Mehl,Nudeln,Gesicht,Oberfläche,inRichtung,Seite,Aspekt,Mehl,Pulver,Staub,Nudel(近义词汉语:皮肤,皮,肤,皮层,肌肤葡萄牙语:pele,escoriar,dérmico西班牙语:cutis,piel英语:cutis,derma,skin查看关于皮的反义词>>("
"近义词汉语:曙光,晨光,晨曦,朝晖,晨晖,晨辉,曦英语","近义词汉语:曙光,晨光,晨曦,朝晖,晨晖,晨辉,曦英语:dawn,thefirstlightofmorning葡萄牙语:auroral,aurora德语:Anbruch,Beginn,Dämmerung,Morgenröte,Morgenrot反义词汉语:暮色,晚霞查看关于晨光的反义词>>("
"近义词汉语:新鲜,鲜,清新,清馨,鲜味,生鲜葡萄牙语近义词汉语:异常,非常,异样,特别,特异,独特,特殊,特出,突出,出奇,奇异,奇特,特,殊,奇,异,新鲜,出格,独出心裁,异乎寻常,与众不同,特有,特种,例外,破例,新异,奇丽,超常规,非常规,不同寻常,非同寻常,非正规,离谱儿俄语",
"近义词汉语:食物,食品,食俄语","近义词汉语:食物,食品,食俄语:пища,еда葡萄牙语:sustento,pábulo,alimento,alimentar法语:nourriture,aliments英语:food,bread,chow,comestible,eatable,edible,fare,meat西班牙语:alimento,bucólica,comida,manjar,mantenimiento,manyada,pábulo,yantar("
"近义词汉语:啾啾,咬咬,呖呖,叽,喳喳,唧唧喳喳","近义词汉语:啾啾,咬咬,呖呖,叽,喳喳,唧唧喳喳("
"近义词汉语:山,山脊,山脉,山峰,岭,岩,群山,深山,山体,支脉俄语","近义词汉语:山,山脊,山脉,山峰,岭,岩,群山,深山,山体,支脉俄语:гора,горный葡萄牙语:montanhoso,montanha,monte法语:montagne,mont英语:hill,mount,mountain德语:Berg,Gebirge,Berg,Gebirge("
"近义词汉语:白酒,烧酒,白干儿德语","近义词汉语:白酒,烧酒,白干儿德语:Baijiu,Schnaps,Branntwein("
"近义词汉语:装饰,装璜汉语:装饰,装点,装璜,装修,点缀,饰,装潢,装裱葡萄牙语","近义词汉语:装饰,装璜汉语:装饰,装点,装璜,装修,点缀,饰,装潢,装裱葡萄牙语:enfeite,ataviamento,ataviar,ornamentação,ornamental,ornamento,guarnição,embelezamento,embelezar,decorativo,decoração,decorar,adorno,adornar法语:décorer,orner德语:dekoriert,Aufputz,Bühnenausstattung,Dekoration,Dressing,Musterung,ornament,Putze,Putzlappen,Verschönerung,Zier,Zierde,behängen,verschönern,dekorativ英语:decorate,accessorize,adorn,dressup,embellish,emboss,garnish,ornament,varnish西班牙语:acicalamiento,acicalar,aderezar,adornar,adorno,arreo,componer,decoración,decorar,embellecimiento,engalanar,exornar,ornamentación,ornamentar,ornamento,ornar,ornato,recomponer,recomposición,toque,zafar("
"近义词汉语:锥,锥子俄语","近义词汉语:锥,锥子俄语:сверлить,протыкать法语:poinçon,cône德语:langweilen,sichbohren,Ahle英语:awl,prick,wimble("
"近义词汉语:插头,插销法语","近义词汉语:插头,插销法语:prisedecourant,fiche英语:pin,plug德语:einschalten,pfropfen,Bolzen,Steckdose,Stecker,stecken葡萄牙语:desligar,plugue("
"近义词汉语:拉手,扳手,摇手德语近义词汉语:扳子,扳手英语","近义词汉语:拉手,扳手,摇手德语:Griff,Schnalle3扳子近义词汉语:扳子,扳手英语:spanner,wrench("
"近义词汉语:骨架,骨子,龙骨,骨,架,架子,骨头架子德语","近义词汉语:骨架,骨子,龙骨,骨,架,架子,骨头架子德语:Gerippe,Skelett,Gestell,Gerüst英语:framework,skeleton("
"近义词汉语:运输费,运费","近义词汉语:运输费,运费("
"近义词汉语:武力,暴力,强力,淫威俄语","近义词汉语:武力,暴力,强力,淫威俄语:сила,насилие法语:force,forcemilitaire英语:armedstrength,force,sword("
"近义词汉语:大臣,重臣,大吏,达官,当道,大员,三九,三朝元老,高官贵爵,达官贵人,高官厚禄,鼎西班牙语","近义词汉语:大臣,重臣,大吏,达官,当道,大员,三九,三朝元老,高官贵爵,达官贵人,高官厚禄,鼎西班牙语:ministro,visir英语:chancellery,minister,secretary("
"近义词汉语:祷告,祈祷,祷,弥撒,弥散,祈愿,祈福英语","近义词汉语:祷告,祈祷,祷,弥撒,弥散,祈愿,祈福英语:pray,patter,rogation,sext德语:Gebet,beten,pray("
"近义词汉语:颜色,色,彩,色彩,色泽,色调俄语","近义词汉语:颜色,色,彩,色彩,色泽,色调俄语:цвет,окраска英语:color,colour,countenance,tinct,tincture3五彩近义词汉语:五彩,彩色,花,彩,印花,杂色,五颜六色,五色缤纷,花花绿绿,花团锦簇,万紫千红,姹紫嫣红,大红大绿,花红柳绿,多彩,多姿多彩,五彩纷呈,五彩缤纷,绚丽多彩,绚丽多姿,异彩,嫣,万紫千红春满园,斑块,色彩缤纷,异彩纷呈,色彩纷呈,五彩斑斓,多姿("
"近义词汉语:强大,强硬,强劲,强,劲,雄,精,精锐,无敌,有力,强有力,兵强马壮,所向无敌,所向披靡,一往无前,无往不胜,无坚不摧,攻无不克,战无不胜,泰山压顶,摧枯拉朽,降龙伏虎,兵不血刃,投鞭断流,人多势众,切实有力,雄强,船坚炮利,强压德语","近义词汉语:强大,强硬,强劲,强,劲,雄,精,精锐,无敌,有力,强有力,兵强马壮,所向无敌,所向披靡,一往无前,无往不胜,无坚不摧,攻无不克,战无不胜,泰山压顶,摧枯拉朽,降龙伏虎,兵不血刃,投鞭断流,人多势众,切实有力,雄强,船坚炮利,强压德语:formidabel,mächtig,potent,schlagkräftig,ungeheuerlich反义词汉语:弱小,虚弱,微弱查看关于强大的反义词>>("
"近义词汉语:和平,相安无事,一方平安俄语近义词汉语:柔和,平和,温和,顺和,中和,和婉,轻柔,温柔,优柔,温情,和缓,平缓,和平,软和,软,文,缓,婉,和,温文尔雅,和风细雨,中庸,低缓,温婉,温软德语","近义词汉语:和平,相安无事,一方平安俄语:мир,мирный葡萄牙语:pacífico,paz西班牙语:oliva,paz德语:Frieden,Friede,friedlich反义词汉语:战乱,战争,暴力2柔和近义词汉语:柔和,平和,温和,顺和,中和,和婉,轻柔,温柔,优柔,温情,和缓,平缓,和平,软和,软,文,缓,婉,和,温文尔雅,和风细雨,中庸,低缓,温婉,温软德语:Nachgiebigkeit,Sanftheit,Zartheit,milde,mildernd,sanft英语:gentleness,mansuetude,meekness,softness,suavity,tenderness西班牙语:dulzor,suavidad法语:doux,tendre反义词汉语:猛烈,生硬,刚烈,强烈,剧烈查看关于和平的反义词>>("
"近义词汉语:改革,改造,改制,革新,除旧布新,革故鼎新,兴利除弊,激浊扬清,涤瑕荡秽葡萄牙语近义词汉语:改建,改造英语","近义词汉语:改革,改造,改制,革新,除旧布新,革故鼎新,兴利除弊,激浊扬清,涤瑕荡秽葡萄牙语:reformatório,reformativo,reformação,reforma德语:Reform,reformieren英语:innovate,reform,regenerate西班牙语:innovación,innovar,reforma,reformación,reformar,transformar反义词汉语:复旧,守旧,依旧3改建近义词汉语:改建,改造英语:rebuild,reconstruct德语:Ausbau,Umbau,umbauen查看关于改造的反义词>>("
"近义词汉语:桂圆,龙眼","近义词汉语:桂圆,龙眼("
"近义词汉语:莲子,莲蓬子儿","近义词汉语:莲子,莲蓬子儿("
"近义词汉语:早饭,早餐","近义词汉语:早饭,早餐查看关于早餐的反义词>>("
"近义词汉语:橡胶,皮,胶德语","近义词汉语:橡胶,皮,胶德语:Gummi,Kautschuk西班牙语:caucho,goma,hule英语:balata,rubber("
"近义词汉语:春,春季,春天,春令,青春,阳春,春日,去冬今春俄语","近义词汉语:春,春季,春天,春令,青春,阳春,春日,去冬今春俄语:весна,весенний法语:printemps,amour,vie英语:life,love,lust,spring反义词汉语:秋季查看关于春季的反义词>>("
"近义词汉语:熟练,纯熟,娴熟,圆熟,烂熟,熟,纯,稳练,谙练,在行,内行,懂行,见长,训练有素,科班出身,滚瓜烂熟,炉火纯青,目无全牛,游刃有余,驾轻就熟,运用自如,挥洒自如,如臂使指,得心应手,滚瓜流油,熟能生巧,自如,运用裕如,融汇贯通俄语近义词汉语:醇厚,浓厚,纯,厚,浓,酽,冲,浓郁,醇,醇香,浓烈4单纯近义词汉语:单纯,单一,纯一,纯粹,纯净,十足,足色,纯,粹,单纯性法语近义词汉语:纯粹,纯,彻头彻尾,片甲不留,片瓦无存,淳,上无片瓦俄语","近义词汉语:熟练,纯熟,娴熟,圆熟,烂熟,熟,纯,稳练,谙练,在行,内行,懂行,见长,训练有素,科班出身,滚瓜烂熟,炉火纯青,目无全牛,游刃有余,驾轻就熟,运用自如,挥洒自如,如臂使指,得心应手,滚瓜流油,熟能生巧,自如,运用裕如,融汇贯通俄语:квалифицированный,опытный,хорошоподготовленный葡萄牙语:proficiente,proficiência,magistral,experto,perito法语:habile,qualifié西班牙语:destreza,manejo德语:Beschlagenheit,Geschicktheit,Meisterschaft,Routine,ausgebildet,fachmännisch,gelernt,kompetent,leistungsfähig,meisterhaft,meisterlich,qualifiziert,schicken,spezialisiert,taktvoll,tüchtig英语:beproficientin,craftiness,inpractice,mastership,proficiency,skill,sleight反义词汉语:生硬,生疏3醇厚近义词汉语:醇厚,浓厚,纯,厚,浓,酽,冲,浓郁,醇,醇香,浓烈4单纯近义词汉语:单纯,单一,纯一,纯粹,纯净,十足,足色,纯,粹,单纯性法语:simple,pur西班牙语:ingenuidad,inocencia,sencillez,simplicidad德语:bloß,rein,Arglosigkeit,Einfachheit,einfältig,kindlich,naiv,naturgemäß,unbedarft,unverfälscht反义词汉语:繁复,复杂5纯粹近义词汉语:纯粹,纯,彻头彻尾,片甲不留,片瓦无存,淳,上无片瓦俄语:чистый,безпримеси,настоящий德语:rein,unverfälscht,unvermischt英语:pureness,purity法语:pur,simple反义词汉语:混杂,驳杂,复杂,搀杂查看关于纯的反义词>>("
"近义词汉语:沙,砂,沙子,砂子,砂石,型砂,砂砾,沙砾,砂礓汉语:沙,沙子俄语","近义词汉语:沙,砂,沙子,砂子,砂石,型砂,砂砾,沙砾,砂礓汉语:沙,沙子俄语:сиплый,хриплый,охрипнуть英语:hoarse,powdered,sand德语:Granulat,Körnchen,Sand("
"近义词汉语:顶,颠,峰,当,冠,梢头俄语近义词汉语:最,顶,极,尽,绝,太,透顶,绝顶,极其,极端,极度,卓绝,不过,无上,无比,无限,无以复加,无与伦比,莫此为甚,最好,最为,至极,最最,极致,亢俄语近义词汉语:顶撞,顶法语近义词汉语:担负,担当,担待,承担,承当,承受,负担,负责,肩负,担,负,背,顶,当,荷,背负,承负,各负其责,顶住俄语近义词汉语:冒充,假冒,假充,混充,作假,作伪,冒牌,冒,顶,充,以假乱真,鱼目混珠,挂羊头卖狗肉,打肿脸充胖子,伪造,充数,滥竽充数,冒用,制假,售假,卖假,冒领,以假充真,贩假,仿冒,冒顶俄语近义词汉语:相等,相当,对等,等于,顶,当,抵,等,齐,侔,埒,半斤八两,等价,齐名,相当于法语近义词汉语:到,至,及,暨,迄,顶,届,交俄语近义词汉语:顶点,顶峰,极限,极点,极端,终极,终点,顶,极,终端,尖峰,巅峰西班牙语近义词汉语:撑,支,抵,顶,戗,支撑,撑篙,撑住,硬撑俄语近义词汉语:转租,包租,出顶,顶德语近义词汉语:租用,租借,租赁,赁,僦,包,顶,租下,承租德语","近义词汉语:顶,颠,峰,当,冠,梢头俄语:вершина,верхушка,макушка,крыша西班牙语:topetada,topetar,topetazo德语:Mütze,Hut,ZähleinheitswortfürObjektemiteinerhervorstehendenSpitzez.B.Hut法语:haut,sommet英语:apex,tip,equal,goagainst,gore,retort2最近义词汉语:最,顶,极,尽,绝,太,透顶,绝顶,极其,极端,极度,卓绝,不过,无上,无比,无限,无以复加,无与伦比,莫此为甚,最好,最为,至极,最最,极致,亢俄语:самый,большевсего英语:bestofall,furthest,most德语:am...sten,meist(近义词汉语:顶撞,顶法语:répliquer,objecter,rétorquer,contredire,affronter,braver,contredireunsupérieurouunepersonneâgée英语:bunt,contradict反义词汉语:顺从4担负近义词汉语:担负,担当,担待,承担,承当,承受,负担,负责,肩负,担,负,背,顶,当,荷,背负,承负,各负其责,顶住俄语:братьнасебя,нести英语:shoulder,takeon法语:sechargerde,assumerlaresponsabilitéde德语:etw.aussichnehmen,etw.tragen,ertragen(近义词汉语:冒充,假冒,假充,混充,作假,作伪,冒牌,冒,顶,充,以假乱真,鱼目混珠,挂羊头卖狗肉,打肿脸充胖子,伪造,充数,滥竽充数,冒用,制假,售假,卖假,冒领,以假充真,贩假,仿冒,冒顶俄语:выдаватьсебяза,подвидом英语:imitate,imitation,pretendtobe反义词汉语:真正6相等近义词汉语:相等,相当,对等,等于,顶,当,抵,等,齐,侔,埒,半斤八两,等价,齐名,相当于法语:équivaloirà,égaler德语:Äquivalent,äquivalent,gleich,gleichen葡萄牙语:equivalente,equivalência,equação,equacionar,igualar,igualação,igualdade,igual英语:balance,beequalto,equality,equalize,equation,even7到近义词汉语:到,至,及,暨,迄,顶,届,交俄语:доходить,достигать,прибывать,приходить,наступать法语:arriver,parvenir,atteindre,allerà英语:arrive,goto,reach,to德语:ankommen,bis,nach,erfolgreichsein,einErgebnishaben,nach...gehen,fahren,umfassend,Dao西班牙语:acudir,hasta,ir,llegar8顶点近义词汉语:顶点,顶峰,极限,极点,极端,终极,终点,顶,极,终端,尖峰,巅峰西班牙语:ápice,apogeo,auge,cenit,cumbre,empino,extremidad,pináculo,tope,vértice葡萄牙语:vértice,apical,ápice,acme法语:sommet,pointculminant英语:height,peak,summit,crown,culmination,meridian,pinnacle,ultimate,zenith9撑近义词汉语:撑,支,抵,顶,戗,支撑,撑篙,撑住,硬撑俄语:подпирать,поддерживать,опиратьсяна法语:s'appuyer,soutenir,faireavancerunvateauàlaperche,résister,tenirbien英语:maintain,propup,support德语:anfangen,eröffnen,überfüllen,fördern,stützen10转租近义词汉语:转租,包租,出顶,顶德语:Untermiete,untervermieten英语:relet,sublease,sublet,underlet西班牙语:realquilar,subarrendar11租用近义词汉语:租用,租借,租赁,赁,僦,包,顶,租下,承租德语:Pachtverhältnis,mieten,gemietet英语:hire,rent,takeonlease西班牙语:arrendar,fletar查看关于顶的反义词>>("
"近义词汉语:养分,营养,滋养,肥分","近义词汉语:养分,营养,滋养,肥分("
"近义词汉语:生发油,头油,发蜡,发乳","近义词汉语:生发油,头油,发蜡,发乳("
"近义词汉语:挑选,拣选,精选,甄选,提选,挑拣,选择,采择,抉择,摘取,选取,取舍,挑,选,拣,择,摘,卜,挑三拣四,披沙拣金,分选,慎选,增选,选项,挑挑拣拣,选料,选萃,求同求异,捎西班牙语","近义词汉语:挑选,拣选,精选,甄选,提选,挑拣,选择,采择,抉择,摘取,选取,取舍,挑,选,拣,择,摘,卜,挑三拣四,披沙拣金,分选,慎选,增选,选项,挑挑拣拣,选料,选萃,求同求异,捎西班牙语:elegir,escoger,escogido,selección,seleccionar英语:choose,select,option,pack,pick,sort,prickoff法语:choisir,sélectionner("
"近义词汉语:扁,扁平俄语","近义词汉语:扁,扁平俄语:плоский,сплющенный,приплюснутый("
"近义词汉语:路劫,断路英语","近义词汉语:路劫,断路英语:highwayrobbery,highwayman("
"近义词汉语:全部,全体,一切,所有,整个,整整,全副,全份,成套,整套,一体,囫囵,全,整,合,阖,举,通,普,尽,悉,一,满,浑,周,遍,漫,上上下下,里里外外,百分之百,不折不扣,原原本本,一五一十,布满,从头至尾,总体,任何,万事,凡事,竭,满贯,漫天,全勤,通栏,全方位,全套,全总,满门,俱全,方方面面,尽数,全路法语近义词汉语:紧密,严密,致密,密致,严紧,严谨,紧凑,连贯,接气,一体,紧,环环相扣,丝丝入扣,一环扣一环,紧紧,联贯,密不可分,密密的俄语","近义词汉语:全部,全体,一切,所有,整个,整整,全副,全份,成套,整套,一体,囫囵,全,整,合,阖,举,通,普,尽,悉,一,满,浑,周,遍,漫,上上下下,里里外外,百分之百,不折不扣,原原本本,一五一十,布满,从头至尾,总体,任何,万事,凡事,竭,满贯,漫天,全勤,通栏,全方位,全套,全总,满门,俱全,方方面面,尽数,全路法语:tout,total德语:Gesamtheit,Inbegriff,Vollständigkeit,allumfassend,ganz,sämtlich,total,universal,universell英语:entirety,full,theallandtheone,whole西班牙语:cuan,cuanto,totalidad反义词汉语:局部,片面,部分3紧密近义词汉语:紧密,严密,致密,密致,严紧,严谨,紧凑,连贯,接气,一体,紧,环环相扣,丝丝入扣,一环扣一环,紧紧,联贯,密不可分,密密的俄语:тесный,неразрывный法语:étroit,serré,dense德语:engen,eng,kompakt,komprimiert,untrennbareng反义词汉语:稀疏,疏松,松懈,松散,朽散查看关于一体的反义词>>("
"近义词汉语:屏条,屏风,屏","近义词汉语:屏条,屏3屏风近义词汉语:屏风,屏西班牙语:biombo,cancel,mampara4屏气近义词汉语:屏气,屏息,屏("
"近义词汉语:锦纶,尼龙","近义词汉语:锦纶,尼龙("
"近义词汉语:菱角,菱,芰","近义词汉语:菱角,菱,芰("
"近义词汉语:胶,胶乳,溶胶,乳胶德语","近义词汉语:胶,胶乳,溶胶,乳胶德语:Kleber,leimen,leimig英语:glue,gluey,mucus,pastern,sticky法语:caouchouc,colle("
"近义词汉语:玉米,玉蜀黍,老玉米,苞谷,苞米,珍珠米,棒子,棒头,粟米,包谷,玉茭,玉米粒,紫玉米西班牙语","近义词汉语:玉米,玉蜀黍,老玉米,苞谷,苞米,珍珠米,棒子,棒头,粟米,包谷,玉茭,玉米粒,紫玉米西班牙语:maíz,mijo,panizo("
"近义词汉语:心,芯,芯子汉语:心,心脏英语近义词汉语:中,中间,中心,中央,正中,当中,居中,正当中,当腰,当心,当间儿,当道,半,间,心,之中,中部,中点,中段汉语:中,中等,半大,中型,适中,不大不小,中小俄语近义词汉语:内心,心里,心,胸,衷,心头,心坎,心房,心魄,心弦,心中,中心,心灵,心扉,心神,心髓,心迹,心底,心目,心尖,心田,心地,心肠,良心,私心,心曲,心眼儿,方寸,寸心,寸衷,衷心,胸臆,肺腑,满心,心窝子,六腑,心心德语","近义词汉语:心,芯,芯子汉语:心,心脏英语:heart,centre,feeling,intention,mind法语:cœur,pensée,esprit,intention2中近义词汉语:中,中间,中心,中央,正中,当中,居中,正当中,当腰,当心,当间儿,当道,半,间,心,之中,中部,中点,中段汉语:中,中等,半大,中型,适中,不大不小,中小俄语:центр,середина,центральный,средний德语:Mitte,die,Zentrum,das,in:chines.Postposition(近义词汉语:内心,心里,心,胸,衷,心头,心坎,心房,心魄,心弦,心中,中心,心灵,心扉,心神,心髓,心迹,心底,心目,心尖,心田,心地,心肠,良心,私心,心曲,心眼儿,方寸,寸心,寸衷,衷心,胸臆,肺腑,满心,心窝子,六腑,心心德语:Herzstück,Herz,innere,innerlich,mental英语:heart,innermostbeing法语:cœur,forintérieur反义词汉语:外表,表面,外貌查看关于心的反义词>>("
"近义词汉语:偏心,偏,一偏,偏颇,偏袒,左袒,左右袒,不公,不平,厚此薄彼,偏听偏信,吃独食,徇情枉法,劫富济贫,厚古薄今,吃偏饭,偏失俄语","近义词汉语:偏心,偏,一偏,偏颇,偏袒,左袒,左右袒,不公,不平,厚此薄彼,偏听偏信,吃独食,徇情枉法,劫富济贫,厚古薄今,吃偏饭,偏失俄语:пристрастие,предпочтение德语:Einseitigkeit,parteiisch英语:bias,partiality反义词汉语:公平查看关于偏心的反义词>>("
"近义词汉语:量,计量,比量,计计俄语近义词汉语:气量,器量,度量,量,心气,度,心胸,心路,心地,心眼儿,胸襟,胸怀,襟怀,肚量俄语近义词汉语:估计,估量,打量,估摸,估,量,忖,忖量,忖度,度德量力,审时度势,估价,估算,估估,估斤算两法语","近义词汉语:量,计量,比量,计计俄语:измерять,мерить法语:mesurer,capacité,quantité德语:Maßnehmen(近义词汉语:气量,器量,度量,量,心气,度,心胸,心路,心地,心眼儿,胸襟,胸怀,襟怀,肚量俄语:великодушие,благородство3估计近义词汉语:估计,估量,打量,估摸,估,量,忖,忖量,忖度,度德量力,审时度势,估价,估算,估估,估斤算两法语:évaluer,estimer德语:Kalkulation,Kostenvoranschlag,Meinung,Schätzung,Veranlagung,ausgerechnet,ausrechnen,circa,kalkulieren,vermuten,geschätzt,vermutlich,voraussichtlich葡萄牙语:estimativo,estimação,estimativa英语:estimate,account,appraise,compute,figure,gauge,reckon西班牙语:calculación,calcular,cálculo,sopesar反义词汉语:确定查看关于量的反义词>>("
"近义词汉语:帽,帽子,冠,笠,盔,冕,冠冕,帽盔,头盔俄语近义词汉语:盖,遮盖,覆盖,捂,瓦,苫,捂住,焘汉语:盖,盖子,帽汉语:盖,华盖俄语","近义词汉语:帽,帽子,冠,笠,盔,冕,冠冕,帽盔,头盔俄语:головнойубор,шапка,шляпа法语:chapeau,bonnet,étui英语:cap,hat2盖近义词汉语:盖,遮盖,覆盖,捂,瓦,苫,捂住,焘汉语:盖,盖子,帽汉语:盖,华盖俄语:накрывать,,покрывать,крышка德语:Deckel,Deckung,Lid,oben,toll,Oberteil,aufbauen,bauen,etwasbedecken西班牙语:arropar,cobijar,cubierta,cubrir,tapar英语:about,annex,canopy,casing,cover,lid,shell,top,build("
"近义词汉语:抗体,抗原","近义词汉语:抗体,抗原("
"近义词汉语:风俗,俗,风,习俗,民俗,风土,人情,风土人情,风俗习惯,传统,风俗人情,风土民情,谣风,遗俗汉语:风俗,乡规民约法语","近义词汉语:风俗,俗,风,习俗,民俗,风土,人情,风土人情,风俗习惯,传统,风俗人情,风土民情,谣风,遗俗汉语:风俗,乡规民约法语:coutumes,mœurs德语:Brauchtum,Brauch,Sitte,Gebrauch,Gewohnheit,Manier("
"近义词汉语:舞者,舞星","近义词汉语:舞者,舞星("
"近义词汉语:照亮,照明,烛照,烛,生辉德语","近义词汉语:照亮,照明,烛照,烛,生辉德语:beleuchtet,Leuchte,erleuchten,leuchten英语:beacon,illuminate,kindle,lamp,light,lighten西班牙语:alumbrar,clarificar,esclarecer("
"近义词汉语:设备,装置,配备,装备,装具,设施英语近义词汉语:安装,装置,设置,安设,安,装,安上德语","近义词汉语:设备,装置,配备,装备,装具,设施英语:equipment,facility,fixing,fixture,installation西班牙语:aparato,instalación德语:Anlage,Anlagen,Apparatur,Ausrüstung,Ausstattung,Einrichtungen,Betriebsmittel,Einbau,Leichtigkeit3安装近义词汉语:安装,装置,设置,安设,安,装,安上德语:installiert,Aufstellung,Einstellung,Einweisung,Installation,Neumontage,installieren,richten法语:installer,monter,placer葡萄牙语:instalação,instalar西班牙语:instalación,instalar,montaje,montar,montura,poner英语:fit,fix,install反义词汉语:拆除,拆卸查看关于装置的反义词>>("
"近义词汉语:打扮,装扮,妆饰,化妆,美容,美发德语","近义词汉语:打扮,装扮,妆饰,化妆,美容,美发德语:sichherausputzen,sichverkleiden,Tracht,Ziererei,antun,dekoriert法语:semaquiller,separer,décorer,fairetoilette英语:dressup,fig,makeup,preenoneself,primp,toilette,trickup西班牙语:acicalamiento,acicalar,afeite,aliñar,ataviar,atavío,exornar,ornamentación,ornamentar反义词汉语:卸妆,卸装查看关于化妆的反义词>>("
"近义词汉语:平衡,失衡葡萄牙语近义词汉语:均匀,匀称,匀净,匀溜,匀整,匀实,匀和,停匀,平均,均衡,平衡,匀,均,年均,户均,人均,随遇平衡,动态平衡,均一,人平法语近义词汉语:相抵,抵消,平衡,抵英语","近义词汉语:平衡,失衡葡萄牙语:equilíbrio,equilibração,equilibrar,contrapeso,balança西班牙语:equilibrio,nivelación英语:balance,counterpoise,equation,equilibrium,equipoise,poise,standoff德语:Abgleich,Aufrechnung,Balance,Beharrungszustand,Bilanz,Guthaben,Kompensation,Saldo,kompensieren,balanciert,gleich,gleichen反义词汉语:不均,失调,失衡,倾向2均匀近义词汉语:均匀,匀称,匀净,匀溜,匀整,匀实,匀和,停匀,平均,均衡,平衡,匀,均,年均,户均,人均,随遇平衡,动态平衡,均一,人平法语:égal,régulier德语:Proportion,gerade,homogen3相抵近义词汉语:相抵,抵消,平衡,抵英语:balance,offset查看关于平衡的反义词>>("
"近义词汉语:边,沿,缘,四边,斜边,沿儿俄语近义词汉语:限度,限,度,止,边,止境,底止,限止,界限,穷尽,尽头,无尽,底限俄语近义词汉语:旁边,边缘,边沿,边际,边,旁,畔,沿,滨,浒,干,际,两旁,一旁,边上,一侧,外缘俄语近义词汉语:侧面,侧,边俄语","近义词汉语:边,沿,缘,四边,斜边,沿儿俄语:край,сторона,бок,кайма,берег法语:côté,bord,marge,frontière,[suffixelocatif]英语:brim,rim,side西班牙语:banda,borde,costado,labio,lado,limbo,mano,marbete,orilla,vera2限度近义词汉语:限度,限,度,止,边,止境,底止,限止,界限,穷尽,尽头,无尽,底限俄语:предел,лимит,границы英语:horizon,limit,limitation,measure德语:Begrenzung,Limitation3旁边近义词汉语:旁边,边缘,边沿,边际,边,旁,畔,沿,滨,浒,干,际,两旁,一旁,边上,一侧,外缘俄语:сбоку,рядом,около葡萄牙语:pertode,aoladode德语:anderSeite,neben,seitlich反义词汉语:中间4侧面近义词汉语:侧面,侧,边俄语:бок,сторона,боковой葡萄牙语:perfil,lateral,flanco英语:flank,profile,side,sideface法语:côté,flanc西班牙语:costado,flanco,pared,perfil反义词汉语:正面查看关于边的反义词>>("
